tweet,predicted_class,createdAt,updatedAt
i'm fine,2,2025-03-20 04:19:34,2025-03-20 04:19:34
i'm  ok,2,2025-03-20 04:58:48,2025-03-20 04:58:48
Abhijeet is very good body,1,2025-03-20 05:02:50,2025-03-20 05:02:50
Abhijeet is very good body.,1,2025-03-20 05:05:55,2025-03-20 05:05:55
Abhijeet is very good body,1,2025-03-20 05:06:22,2025-03-20 05:06:22
Abhijeet is very good body,1,2025-03-20 05:06:55,2025-03-20 05:06:55
Ia,0,2025-03-20 05:07:49,2025-03-20 05:07:49
"Many all-star engineers are taking major pay cuts (sometimes to zero) and suffering from harassment, including death threats, to help the country with @DOGE, because they loveÂ AmericaÂ ",0,2025-03-21 10:45:12,2025-03-21 10:45:12
Priyanshu is a good boy,1,2025-03-24 09:46:25,2025-03-24 09:46:25
I hate priyanshu so much..he is bad boy and dirty minded boy,0,2025-03-24 09:47:06,2025-03-24 09:47:06
priyanshu is intelligent,2,2025-03-24 09:47:30,2025-03-24 09:47:30
This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet,1,2025-03-24 15:07:35,2025-03-24 15:07:35
This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyze This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer,1,2025-03-24 15:07:43,2025-03-24 15:07:43
Just checking,2,2025-03-24 16:31:40,2025-03-24 16:31:40
I hate this product! It's amazing ðŸ˜Š,0,2025-03-25 16:55:31,2025-03-25 16:55:31
I hate this product! It's amazing ðŸ˜Š,0,2025-03-25 16:56:00,2025-03-25 16:56:00
I hate this product! It's amazing ðŸ˜Š,0,2025-03-26 13:12:43,2025-03-26 13:12:43
I hate this product! It's amazing ðŸ˜Š,0,2025-03-26 13:24:39,2025-03-26 13:24:39
Soumya is mad too,0,2025-03-26 13:25:20,2025-03-26 13:25:20
Vishal is mad,0,2025-03-26 13:25:28,2025-03-26 13:25:28
Vishal is mad,0,2025-03-26 13:25:51,2025-03-26 13:25:51
Soumya is mad too,0,2025-03-26 13:26:10,2025-03-26 13:26:10
Soumya is mad,0,2025-03-26 13:27:45,2025-03-26 13:27:45
Vishal is mad,0,2025-03-26 13:29:07,2025-03-26 13:29:07
Soumya is mad,0,2025-03-26 13:29:21,2025-03-26 13:29:21
Rohit is mad,0,2025-03-26 13:30:09,2025-03-26 13:30:09
Sm is mad,0,2025-03-26 13:30:30,2025-03-26 13:30:30
Rohit is mad,0,2025-03-26 13:30:35,2025-03-26 13:30:35
Pratham is mad,0,2025-03-26 13:30:44,2025-03-26 13:30:44
Tanya is mad,0,2025-03-26 13:30:56,2025-03-26 13:30:56
Soumya is mad,0,2025-03-26 13:31:09,2025-03-26 13:31:09
I hate this product! It's amazing ðŸ˜Š,0,2025-03-27 03:50:43,2025-03-27 03:50:43
I hate this product! It's amazing ðŸ˜Š,0,2025-03-27 03:52:03,2025-03-27 03:52:03
I hate this product! It's amazing ðŸ˜Š,0,2025-03-29 11:33:03,2025-03-29 11:33:03
I hate this product! It's amazing ðŸ˜Š,0,2025-03-29 17:45:35,2025-03-29 17:45:35
i'm  ok,2,2025-03-30 12:57:57,2025-03-30 12:57:57
I'm amazing,1,2025-03-31 17:39:55,2025-03-31 17:39:55
Is it working seriously?,2,2025-03-31 17:40:17,2025-03-31 17:40:17
I'm very thankful,1,2025-03-31 17:40:26,2025-03-31 17:40:26
Testing,2,2025-03-31 17:50:27,2025-03-31 17:50:27
I'm amazing,1,2025-03-31 17:50:36,2025-03-31 17:50:36
This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet,1,2025-03-31 17:50:45,2025-03-31 17:50:45
i'm  ok,2,2025-03-31 17:51:19,2025-03-31 17:51:19
Abhijeet is very good body,1,2025-03-31 17:54:23,2025-03-31 17:54:23
I'm amazing,1,2025-03-31 17:54:28,2025-03-31 17:54:28
are you working,2,2025-04-01 01:59:52,2025-04-01 01:59:52
This is what it is,2,2025-04-01 02:00:03,2025-04-01 02:00:03
Great bhai,1,2025-04-01 02:00:09,2025-04-01 02:00:09
Soumya is mad too,0,2025-04-01 03:32:41,2025-04-01 03:32:41
"Many all-star engineers are taking major pay cuts (sometimes to zero) and suffering from harassment, including death threats, to help the country with @DOGE, because they loveÂ AmericaÂ ",0,2025-04-01 03:32:47,2025-04-01 03:32:47
the way genz are wasting their family's money is devastating these days but it is also good to know that they are realising this fact and improving their relationship with money,2,2025-04-01 03:38:56,2025-04-01 03:38:56
fuck off,0,2025-04-01 03:52:13,2025-04-01 03:52:13
i hate you,0,2025-04-01 03:52:23,2025-04-01 03:52:23
i love the way you hate me,1,2025-04-01 03:52:33,2025-04-01 03:52:33
i hate the way you love me,0,2025-04-01 03:52:47,2025-04-01 03:52:47
I love you,1,2025-04-01 03:52:54,2025-04-01 03:52:54
I love your boyfriend can i take him from you,2,2025-04-01 03:53:08,2025-04-01 03:53:08
"I love someone , but I don't know she loves me or not , ",2,2025-04-01 04:02:55,2025-04-01 04:02:55
"Dekho pehle jab staff prescription create karega (new appointment baneyaga) tab prescription state pending rahega, jab doctor prescription banayega(patient consultation form) and  then send staff karega to prescription mode in progress rahega and last jab staff patient ko medicine deke submit click karga ,to prescription mode complete hoga",2,2025-04-01 04:03:07,2025-04-01 04:03:07
"I am not sure about her fellings on me, I don't know what happened next, But I do nothing ",2,2025-04-01 04:06:02,2025-04-01 04:06:02
I kill you,0,2025-04-01 04:06:11,2025-04-01 04:06:11
"This is not good game, but not so bad",2,2025-04-01 04:06:28,2025-04-01 04:06:28
Yup,2,2025-04-01 04:06:37,2025-04-01 04:06:37
I am happy,1,2025-04-01 04:06:43,2025-04-01 04:06:43
This is very nice,1,2025-04-01 06:44:45,2025-04-01 06:44:45
This is very nice,1,2025-04-01 06:44:59,2025-04-01 06:44:59
This is very nice,1,2025-04-01 06:45:38,2025-04-01 06:45:38
I am very sorry for the delay in the college,0,2025-04-01 06:47:19,2025-04-01 06:47:19
I am happy,1,2025-04-01 06:47:30,2025-04-01 06:47:30
Thanks for giving me a chance to get a good day,1,2025-04-01 06:48:04,2025-04-01 06:48:04
This is very nice,1,2025-04-01 06:48:23,2025-04-01 06:48:23
"Many all-star engineers are taking major pay cuts (sometimes to zero) and suffering from harassment, including death threats, to help the country with @DOGE, because they loveÂ AmericaÂ ",0,2025-04-01 09:35:11,2025-04-01 09:35:11
happy,1,2025-04-01 09:35:25,2025-04-01 09:35:25
Vishal is mad,0,2025-04-01 10:02:42,2025-04-01 10:02:42
Does nt matter yr,2,2025-04-01 13:58:21,2025-04-01 13:58:21
Arbaas ne kaha k tweet kr toh bnta h boss,2,2025-04-01 13:58:46,2025-04-01 13:58:46
Help 3 ppl. Also see Jai Ho on Star gold.,1,2025-04-01 13:59:08,2025-04-01 13:59:08
"Thought for the day. Hmmmmmmmm ahhhhhhhhhhh, jaane do aaj kuch mat soocho.",2,2025-04-01 13:59:46,2025-04-01 13:59:46
bad,0,2025-04-01 13:59:50,2025-04-01 13:59:50
baddie,2,2025-04-01 13:59:55,2025-04-01 13:59:55
baddest baddie in town,0,2025-04-01 14:00:01,2025-04-01 14:00:01
baddiest baddie in town,0,2025-04-01 14:00:13,2025-04-01 14:00:13
no need yr,2,2025-04-01 16:25:01,2025-04-01 16:25:01
she's a cute baddiest baddie of all the baddies,0,2025-04-01 16:25:19,2025-04-01 16:25:19
I hate this product! It's amazing ðŸ˜Š,0,2025-04-02 07:14:02,2025-04-02 07:14:02
"I love to kill people, and I feel happy to kill them",0,2025-04-02 07:15:23,2025-04-02 07:15:23
"I am fool for you , But I don't Fuckin care",0,2025-04-02 07:16:41,2025-04-02 07:16:41
I am fool for you,0,2025-04-02 07:16:55,2025-04-02 07:16:55
Yup,2,2025-04-02 07:18:58,2025-04-02 07:18:58
I love you,1,2025-04-02 07:19:06,2025-04-02 07:19:06
I hate me,0,2025-04-02 07:19:13,2025-04-02 07:19:13
I kill you,0,2025-04-02 07:19:18,2025-04-02 07:19:18
I will be selected for the same to you,2,2025-04-02 07:19:33,2025-04-02 07:19:33
I am happy,1,2025-04-02 07:19:41,2025-04-02 07:19:41
Vishal is good boy,1,2025-04-02 08:05:23,2025-04-02 08:05:23
"Your boarding pass, the latest information for your flight, customer service â€“ all now available directly on Twitter for those flying with Royal Dutch Airlines (@KLM).",1,2025-04-02 08:38:00,2025-04-02 08:38:00
"Your boarding pass, the latest information for your flight, customer service â€“ all now available directly on Twitter for those flying with Royal Dutch Airlines (@KLM).",1,2025-04-02 08:38:00,2025-04-02 08:38:00
"Your boarding pass, the latest information for your flight, customer service â€“ all now available directly on Twitter for those flying with Royal Dutch Airlines (@KLM).",1,2025-04-02 08:38:00,2025-04-02 08:38:00
"Your boarding pass, the latest information for your flight, customer service â€“ all now available directly on Twitter for those flying with Royal Dutch Airlines (@KLM).",1,2025-04-02 08:38:00,2025-04-02 08:38:00
"Your boarding pass, the latest information for your flight, customer service â€“ all now available directly on Twitter for those flying with Royal Dutch Airlines (@KLM).",1,2025-04-02 08:37:59,2025-04-02 08:37:59
"Your boarding pass, the latest information for your flight, customer service â€“ all now available directly on Twitter for those flying with Royal Dutch Airlines (@KLM).",1,2025-04-02 08:38:00,2025-04-02 08:38:00
"Your boarding pass, the latest information for your flight, customer service â€“ all now available directly on Twitter for those flying with Royal Dutch Airlines (@KLM).",1,2025-04-02 08:38:00,2025-04-02 08:38:00
"Your boarding pass, the latest information for your flight, customer service â€“ all now available directly on Twitter for those flying with Royal Dutch Airlines (@KLM).",1,2025-04-02 08:38:16,2025-04-02 08:38:16
"Your boarding pass, the latest information for your flight, customer service â€“ all now available directly on Twitter for those flying with Royal Dutch Airlines (@KLM).",1,2025-04-02 08:38:51,2025-04-02 08:38:51
Modi is dictator,0,2025-04-03 03:41:14,2025-04-03 03:41:14
there is no freedom of speech in india anymore,0,2025-04-03 03:46:23,2025-04-03 03:46:23
he is bad,0,2025-04-03 03:48:00,2025-04-03 03:48:00
he is wrong,0,2025-04-03 03:48:48,2025-04-03 03:48:48
he a good guy,1,2025-04-03 03:49:03,2025-04-03 03:49:03
he is very talented,1,2025-04-03 03:49:19,2025-04-03 03:49:19
he can't servive,0,2025-04-03 03:49:40,2025-04-03 03:49:40
I hate this product! It's amazing ðŸ˜Š,0,2025-04-03 05:13:35,2025-04-03 05:13:35
"Many all-star engineers are taking major pay cuts (sometimes to zero) and suffering from harassment, including death threats, to help the country with @DOGE, because they loveÂ AmericaÂ ",0,2025-04-03 05:13:46,2025-04-03 05:13:46
I love you,1,2025-04-03 05:13:55,2025-04-03 05:13:55
Vishal is mad,0,2025-04-04 06:11:43,2025-04-04 06:11:43
Anchal makes me laugh,1,2025-04-04 06:11:56,2025-04-04 06:11:56
Anchal makes me go mad,0,2025-04-04 06:12:07,2025-04-04 06:12:07
Anchal is positive,1,2025-04-04 06:12:17,2025-04-04 06:12:17
Anchal is a very good girl,1,2025-04-04 06:13:09,2025-04-04 06:13:09
Soumya is good girl,1,2025-04-04 06:13:29,2025-04-04 06:13:29
"Hello mitr, badmash ho kya tum?",0,2025-04-07 05:43:41,2025-04-07 05:43:41
"Gaand tod dunga, smzha dalle?",0,2025-04-07 05:43:59,2025-04-07 05:43:59