tweet,predicted_class,createdAt,updatedAt,__v
i'm fine,2,2025-03-20 04:19:34.336,2025-03-20 04:19:34.336,0
i'm  ok,2,2025-03-20 04:58:47.975,2025-03-20 04:58:47.975,0
Abhijeet is very good body,1,2025-03-20 05:02:49.797,2025-03-20 05:02:49.797,0
Abhijeet is very good body.,1,2025-03-20 05:05:54.651,2025-03-20 05:05:54.651,0
Abhijeet is very good body,1,2025-03-20 05:06:22.274,2025-03-20 05:06:22.274,0
Abhijeet is very good body,1,2025-03-20 05:06:54.989,2025-03-20 05:06:54.989,0
Ia,0,2025-03-20 05:07:49.349,2025-03-20 05:07:49.349,0
"Many all-star engineers are taking major pay cuts (sometimes to zero) and suffering from harassment, including death threats, to help the country with @DOGE, because they loveÂ AmericaÂ ",0,2025-03-21 10:45:11.980,2025-03-21 10:45:11.980,0
Priyanshu is a good boy,1,2025-03-24 09:46:24.574,2025-03-24 09:46:24.574,0
I hate priyanshu so much..he is bad boy and dirty minded boy,0,2025-03-24 09:47:06.018,2025-03-24 09:47:06.018,0
priyanshu is intelligent,0,2025-03-24 09:47:29.599,2025-03-24 09:47:29.599,0
This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet,1,2025-03-24 15:07:35.166,2025-03-24 15:07:35.166,0
This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyze This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer,1,2025-03-24 15:07:42.798,2025-03-24 15:07:42.798,0
Just checking,2,2025-03-24 16:31:39.562,2025-03-24 16:31:39.562,0
I hate this product! It's amazing ðŸ˜Š,0,2025-03-25 16:55:31.217,2025-03-25 16:55:31.217,0
I hate this product! It's amazing ðŸ˜Š,0,2025-03-25 16:56:00.470,2025-03-25 16:56:00.470,0
I hate this product! It's amazing ðŸ˜Š,0,2025-03-26 13:12:42.826,2025-03-26 13:12:42.826,0
I hate this product! It's amazing ðŸ˜Š,0,2025-03-26 13:24:38.538,2025-03-26 13:24:38.538,0
Soumya is mad too,1,2025-03-26 13:25:19.944,2025-03-26 13:25:19.944,0
Vishal is mad,0,2025-03-26 13:25:27.728,2025-03-26 13:25:27.728,0
Vishal is mad,0,2025-03-26 13:25:51.435,2025-03-26 13:25:51.435,0
Soumya is mad too,1,2025-03-26 13:26:09.737,2025-03-26 13:26:09.737,0
Soumya is mad,1,2025-03-26 13:27:45.349,2025-03-26 13:27:45.349,0
Vishal is mad,0,2025-03-26 13:29:07.476,2025-03-26 13:29:07.476,0
Soumya is mad,1,2025-03-26 13:29:20.551,2025-03-26 13:29:20.551,0
Rohit is mad,2,2025-03-26 13:30:08.765,2025-03-26 13:30:08.765,0
Sm is mad,2,2025-03-26 13:30:29.860,2025-03-26 13:30:29.860,0
Rohit is mad,2,2025-03-26 13:30:34.872,2025-03-26 13:30:34.872,0
Pratham is mad,2,2025-03-26 13:30:44.322,2025-03-26 13:30:44.322,0
Tanya is mad,2,2025-03-26 13:30:55.772,2025-03-26 13:30:55.772,0
Soumya is mad,1,2025-03-26 13:31:09.052,2025-03-26 13:31:09.052,0
I hate this product! It's amazing ðŸ˜Š,0,2025-03-27 03:50:42.505,2025-03-27 03:50:42.505,0
I hate this product! It's amazing ðŸ˜Š,0,2025-03-27 03:52:03.084,2025-03-27 03:52:03.084,0
I hate this product! It's amazing ðŸ˜Š,0,2025-03-29 11:33:02.757,2025-03-29 11:33:02.757,0
I hate this product! It's amazing ðŸ˜Š,0,2025-03-29 17:45:35.494,2025-03-29 17:45:35.494,0
i'm  ok,2,2025-03-30 12:57:57.139,2025-03-30 12:57:57.139,0
I'm amazing,2,2025-03-31 17:39:55.309,2025-03-31 17:39:55.309,0
Is it working seriously?,0,2025-03-31 17:40:16.521,2025-03-31 17:40:16.521,0
I'm very thankful,2,2025-03-31 17:40:25.942,2025-03-31 17:40:25.942,0
Testing,2,2025-03-31 17:50:27.426,2025-03-31 17:50:27.426,0
I'm amazing,2,2025-03-31 17:50:36.439,2025-03-31 17:50:36.439,0
This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet,1,2025-03-31 17:50:45.159,2025-03-31 17:50:45.159,0
i'm  ok,2,2025-03-31 17:51:19.310,2025-03-31 17:51:19.310,0
Abhijeet is very good body,1,2025-03-31 17:54:22.954,2025-03-31 17:54:22.954,0
I'm amazing,2,2025-03-31 17:54:27.977,2025-03-31 17:54:27.977,0
are you working,0,2025-04-01 01:59:51.901,2025-04-01 01:59:51.901,0
This is what it is,0,2025-04-01 02:00:03.061,2025-04-01 02:00:03.061,0
Great bhai,1,2025-04-01 02:00:08.540,2025-04-01 02:00:08.540,0
Soumya is mad too,1,2025-04-01 03:32:41.069,2025-04-01 03:32:41.069,0
"Many all-star engineers are taking major pay cuts (sometimes to zero) and suffering from harassment, including death threats, to help the country with @DOGE, because they loveÂ AmericaÂ ",0,2025-04-01 03:32:47.295,2025-04-01 03:32:47.295,0
the way genz are wasting their family's money is devastating these days but it is also good to know that they are realising this fact and improving their relationship with money,2,2025-04-01 03:38:55.836,2025-04-01 03:38:55.836,0
fuck off,2,2025-04-01 03:52:13.451,2025-04-01 03:52:13.451,0
i hate you,0,2025-04-01 03:52:22.573,2025-04-01 03:52:22.573,0
i love the way you hate me,0,2025-04-01 03:52:32.834,2025-04-01 03:52:32.834,0
i hate the way you love me,0,2025-04-01 03:52:46.831,2025-04-01 03:52:46.831,0
I love you,1,2025-04-01 03:52:54.219,2025-04-01 03:52:54.219,0
I love your boyfriend can i take him from you,0,2025-04-01 03:53:07.773,2025-04-01 03:53:07.773,0
"I love someone , but I don't know she loves me or not , ",1,2025-04-01 04:02:54.859,2025-04-01 04:02:54.859,0
"Dekho pehle jab staff prescription create karega (new appointment baneyaga) tab prescription state pending rahega, jab doctor prescription banayega(patient consultation form) and  then send staff karega to prescription mode in progress rahega and last jab staff patient ko medicine deke submit click karga ,to prescription mode complete hoga",0,2025-04-01 04:03:06.720,2025-04-01 04:03:06.720,0
"I am not sure about her fellings on me, I don't know what happened next, But I do nothing ",2,2025-04-01 04:06:01.717,2025-04-01 04:06:01.717,0
I kill you ,0,2025-04-01 04:06:10.633,2025-04-01 04:06:10.633,0
"This is not good game, but not so bad",0,2025-04-01 04:06:28.437,2025-04-01 04:06:28.437,0
Yup ,2,2025-04-01 04:06:36.658,2025-04-01 04:06:36.658,0
I am happy ,1,2025-04-01 04:06:42.639,2025-04-01 04:06:42.639,0
This is very nice ,0,2025-04-01 06:44:45.253,2025-04-01 06:44:45.253,0
This is very nice ,0,2025-04-01 06:44:58.969,2025-04-01 06:44:58.969,0
This is very nice ,0,2025-04-01 06:45:37.944,2025-04-01 06:45:37.944,0
I am very sorry for the delay in the college ,0,2025-04-01 06:47:19.328,2025-04-01 06:47:19.328,0
I am happy ,1,2025-04-01 06:47:29.521,2025-04-01 06:47:29.521,0
Thanks for giving me a chance to get a good day ,2,2025-04-01 06:48:04.467,2025-04-01 06:48:04.467,0
This is very nice ,0,2025-04-01 06:48:22.741,2025-04-01 06:48:22.741,0
"Many all-star engineers are taking major pay cuts (sometimes to zero) and suffering from harassment, including death threats, to help the country with @DOGE, because they loveÂ AmericaÂ ",0,2025-04-01 09:35:10.764,2025-04-01 09:35:10.764,0
happy,1,2025-04-01 09:35:24.933,2025-04-01 09:35:24.933,0
Vishal is mad,0,2025-04-01 10:02:41.655,2025-04-01 10:02:41.655,0
Does nt matter yr,2,2025-04-01 13:58:20.520,2025-04-01 13:58:20.520,0
Arbaas ne kaha k tweet kr toh bnta h boss,1,2025-04-01 13:58:46.104,2025-04-01 13:58:46.104,0
Help 3 ppl. Also see Jai Ho on Star gold.,1,2025-04-01 13:59:07.869,2025-04-01 13:59:07.869,0
"Thought for the day. Hmmmmmmmm ahhhhhhhhhhh, jaane do aaj kuch mat soocho.",1,2025-04-01 13:59:46.344,2025-04-01 13:59:46.344,0
bad,2,2025-04-01 13:59:50.210,2025-04-01 13:59:50.210,0
baddie,2,2025-04-01 13:59:54.773,2025-04-01 13:59:54.773,0
baddest baddie in town,0,2025-04-01 14:00:01.458,2025-04-01 14:00:01.458,0
baddiest baddie in town,0,2025-04-01 14:00:12.625,2025-04-01 14:00:12.625,0
no need yr,2,2025-04-01 16:25:00.561,2025-04-01 16:25:00.561,0
she's a cute baddiest baddie of all the baddies,0,2025-04-01 16:25:18.630,2025-04-01 16:25:18.630,0
I hate this product! It's amazing ðŸ˜Š,0,2025-04-02 07:14:01.831,2025-04-02 07:14:01.831,0
"I love to kill people, and I feel happy to kill them",1,2025-04-02 07:15:23.113,2025-04-02 07:15:23.113,0
"I am fool for you , But I don't Fuckin care",0,2025-04-02 07:16:40.975,2025-04-02 07:16:40.975,0
I am fool for you ,0,2025-04-02 07:16:55.092,2025-04-02 07:16:55.092,0
Yup,2,2025-04-02 07:18:57.973,2025-04-02 07:18:57.973,0
I love you ,1,2025-04-02 07:19:05.820,2025-04-02 07:19:05.820,0
I hate me,0,2025-04-02 07:19:12.526,2025-04-02 07:19:12.526,0
I kill you ,0,2025-04-02 07:19:17.826,2025-04-02 07:19:17.826,0
I will be selected for the same to you,0,2025-04-02 07:19:33.336,2025-04-02 07:19:33.336,0
I am happy ,1,2025-04-02 07:19:41.147,2025-04-02 07:19:41.147,0
Vishal is good boy,2,2025-04-02 08:05:22.785,2025-04-02 08:05:22.785,0
"Your boarding pass, the latest information for your flight, customer service â€“ all now available directly on Twitter for those flying with Royal Dutch Airlines (@KLM).",1,2025-04-02 08:37:59.570,2025-04-02 08:37:59.570,0
"Your boarding pass, the latest information for your flight, customer service â€“ all now available directly on Twitter for those flying with Royal Dutch Airlines (@KLM).",1,2025-04-02 08:37:59.611,2025-04-02 08:37:59.611,0
"Your boarding pass, the latest information for your flight, customer service â€“ all now available directly on Twitter for those flying with Royal Dutch Airlines (@KLM).",1,2025-04-02 08:38:00.026,2025-04-02 08:38:00.026,0
"Your boarding pass, the latest information for your flight, customer service â€“ all now available directly on Twitter for those flying with Royal Dutch Airlines (@KLM).",1,2025-04-02 08:38:00.152,2025-04-02 08:38:00.152,0
"Your boarding pass, the latest information for your flight, customer service â€“ all now available directly on Twitter for those flying with Royal Dutch Airlines (@KLM).",1,2025-04-02 08:37:59.449,2025-04-02 08:37:59.449,0
"Your boarding pass, the latest information for your flight, customer service â€“ all now available directly on Twitter for those flying with Royal Dutch Airlines (@KLM).",1,2025-04-02 08:38:00.416,2025-04-02 08:38:00.416,0
"Your boarding pass, the latest information for your flight, customer service â€“ all now available directly on Twitter for those flying with Royal Dutch Airlines (@KLM).",1,2025-04-02 08:38:00.213,2025-04-02 08:38:00.213,0
"Your boarding pass, the latest information for your flight, customer service â€“ all now available directly on Twitter for those flying with Royal Dutch Airlines (@KLM).",1,2025-04-02 08:38:16.225,2025-04-02 08:38:16.225,0
"Your boarding pass, the latest information for your flight, customer service â€“ all now available directly on Twitter for those flying with Royal Dutch Airlines (@KLM).",1,2025-04-02 08:38:51.055,2025-04-02 08:38:51.055,0
Modi is dictator,2,2025-04-03 03:41:14.390,2025-04-03 03:41:14.390,0
there is no freedom of speech in india anymore,2,2025-04-03 03:46:23.014,2025-04-03 03:46:23.014,0
he is bad,2,2025-04-03 03:47:59.767,2025-04-03 03:47:59.767,0
he is wrong,0,2025-04-03 03:48:47.594,2025-04-03 03:48:47.594,0
he a good guy,2,2025-04-03 03:49:03.129,2025-04-03 03:49:03.129,0
he is very talented,2,2025-04-03 03:49:18.600,2025-04-03 03:49:18.600,0
he can't servive,2,2025-04-03 03:49:39.533,2025-04-03 03:49:39.533,0
I hate this product! It's amazing ðŸ˜Š,0,2025-04-03 05:13:34.986,2025-04-03 05:13:34.986,0
"Many all-star engineers are taking major pay cuts (sometimes to zero) and suffering from harassment, including death threats, to help the country with @DOGE, because they loveÂ AmericaÂ ",0,2025-04-03 05:13:46.419,2025-04-03 05:13:46.419,0
I love you,1,2025-04-03 05:13:55.105,2025-04-03 05:13:55.105,0
Vishal is mad,0,2025-04-04 06:11:42.548,2025-04-04 06:11:42.548,0
Anchal makes me laugh,0,2025-04-04 06:11:56.349,2025-04-04 06:11:56.349,0
Anchal makes me go mad ,0,2025-04-04 06:12:06.576,2025-04-04 06:12:06.576,0
Anchal is positive,0,2025-04-04 06:12:16.709,2025-04-04 06:12:16.709,0
Anchal is a very good girl,1,2025-04-04 06:13:09.366,2025-04-04 06:13:09.366,0
Soumya is good girl,1,2025-04-04 06:13:28.619,2025-04-04 06:13:28.619,0
"Hello mitr, badmash ho kya tum?",1,2025-04-07 05:43:41.362,2025-04-07 05:43:41.362,0
"Gaand tod dunga, smzha dalle?",2,2025-04-07 05:43:59.084,2025-04-07 05:43:59.084,0
